,Magnet#,SNR,SNR_value
0,0.0,SNR_Raw,0.787345971563981
1,0.0,SNR_Raw,0.787345971563981
2,0.0,SNR_Raw,0.787345971563981
3,1.0,SNR_Raw,0.9226379310344828
4,1.0,SNR_Raw,0.9226379310344828
5,1.0,SNR_Raw,0.9226379310344828
6,2.0,SNR_Raw,0.9473974208675263
7,2.0,SNR_Raw,0.9473974208675263
8,2.0,SNR_Raw,0.9473974208675263
9,3.0,SNR_Raw,0.9752918502202643
10,3.0,SNR_Raw,0.9752918502202643
11,3.0,SNR_Raw,0.9752918502202643
12,0.0,SNR_IMU_corr,0.9309478672985783
13,0.0,SNR_IMU_corr,0.925260663507109
14,0.0,SNR_IMU_corr,0.9350236966824644
15,1.0,SNR_IMU_corr,0.9748793103448276
16,1.0,SNR_IMU_corr,0.9728103448275862
17,1.0,SNR_IMU_corr,0.9763620689655171
18,2.0,SNR_IMU_corr,0.9829191090269636
19,2.0,SNR_IMU_corr,0.9815123094958969
20,2.0,SNR_IMU_corr,0.9839273153575615
21,3.0,SNR_IMU_corr,0.9919768722466961
22,3.0,SNR_IMU_corr,0.9913160792951542
23,3.0,SNR_IMU_corr,0.9924504405286343
24,0.0,SNR_Self_corr,0.9344075829383887
25,0.0,SNR_Self_corr,0.940521327014218
26,0.0,SNR_Self_corr,0.9323696682464454
27,1.0,SNR_Self_corr,0.9761379310344827
28,1.0,SNR_Self_corr,0.9783620689655174
29,1.0,SNR_Self_corr,0.975396551724138
30,2.0,SNR_Self_corr,0.9837749120750293
31,2.0,SNR_Self_corr,0.9852872215709262
32,2.0,SNR_Self_corr,0.9832708089097304
33,3.0,SNR_Self_corr,0.9923788546255508
34,3.0,SNR_Self_corr,0.9930892070484582
35,3.0,SNR_Self_corr,0.9921420704845815
